geo_code1,origin_bicycle,origin_all,origin_ratio,destination_bicycle,destination_all,destination_ratio
E02000668,112,2695,4.16%,35,1017,3.44%
E02000669,102,3198,3.19%,28,1073,2.61%
E02000670,83,2355,3.52%,8,738,1.08%
E02000671,231,3512,6.58%,98,1951,5.02%
E02000672,107,2935,3.65%,183,5036,3.63%
E02000673,204,3374,6.05%,30,1173,2.56%
E02000674,88,3084,2.85%,7,512,1.37%
E02000675,102,3263,3.13%,35,717,4.88%
E02000676,187,3228,5.79%,15,416,3.61%
E02000677,87,2668,3.26%,43,1432,3.00%
E02000678,35,2030,1.72%,9,295,3.05%
E02000679,110,3044,3.61%,28,854,3.28%
E02000680,112,2439,4.59%,27,869,3.11%
E02000681,69,2839,2.43%,24,1232,1.95%
E02000682,51,2530,2.02%,18,857,2.10%
E02000683,35,2038,1.72%,0,445,0.00%
E02000685,99,2795,3.54%,12,741,1.62%
E02000686,38,2113,1.80%,23,1097,2.10%
E02000687,95,2901,3.27%,15,1037,1.45%
E02000689,205,3514,5.83%,216,3188,6.78%
E02000690,92,1643,5.60%,125,1936,6.46%
E02000691,151,3326,4.54%,120,3210,3.74%
E02000692,101,3184,3.17%,318,5928,5.36%
E02000693,226,4524,5.00%,65,2040,3.19%
E02000694,203,4106,4.94%,73,1755,4.16%
E02000695,93,3022,3.08%,19,560,3.39%
E02000696,132,3184,4.15%,28,760,3.68%
E02000697,148,4039,3.66%,256,5232,4.89%
E02000698,130,2794,4.65%,52,985,5.28%
E02000699,178,3414,5.21%,47,925,5.08%
E02000700,112,3196,3.50%,67,1714,3.91%
E02000701,94,2952,3.18%,25,940,2.66%
E02000702,96,2681,3.58%,9,341,2.64%
E02000703,162,2853,5.68%,32,555,5.77%
E02000704,142,3299,4.30%,101,2453,4.12%
E02000705,59,2866,2.06%,11,520,2.12%
E02000706,103,2887,3.57%,43,1149,3.74%
E02000707,62,2459,2.52%,13,442,2.94%
E02000708,127,3114,4.08%,82,1611,5.09%
E02000709,101,2803,3.60%,9,228,3.95%
E02000710,70,2735,2.56%,165,4097,4.03%
E02000711,77,2704,2.85%,119,2854,4.17%
E02000712,82,2929,2.80%,29,1071,2.71%
E02000713,83,2855,2.91%,39,1140,3.42%
E02000714,81,2719,2.98%,17,641,2.65%
E02000715,20,1876,1.07%,9,626,1.44%
E02000716,54,2104,2.57%,8,526,1.52%
E02000717,25,2241,1.12%,14,1052,1.33%
E02000718,31,1690,1.83%,13,492,2.64%
E02000719,64,2689,2.38%,13,765,1.70%
E02000720,87,2355,3.69%,12,637,1.88%
E02000721,45,2699,1.67%,41,1960,2.09%
E02000722,77,3058,2.52%,42,1141,3.68%
E02000723,19,3136,0.61%,32,1503,2.13%
E02000724,29,2537,1.14%,8,405,1.98%
E02000725,96,3665,2.62%,188,6613,2.84%
E02000726,111,3657,3.04%,191,4708,4.06%
E02000727,27,2420,1.12%,13,1023,1.27%
E02000728,27,2462,1.10%,2,244,0.82%
E02000729,45,2235,2.01%,13,346,3.76%
E02000730,26,2680,0.97%,49,1494,3.28%
E02000731,29,2985,0.97%,42,2824,1.49%
E02000732,22,2001,1.10%,10,1044,0.96%
E02000733,73,3144,2.32%,40,1137,3.52%
E02000734,49,2401,2.04%,6,350,1.71%
E02000735,37,2249,1.65%,30,1093,2.74%
E02000736,25,2310,1.08%,32,1234,2.59%
E02000737,61,2718,2.24%,43,1874,2.29%
E02000738,45,2661,1.69%,9,544,1.65%
E02000739,51,2252,2.26%,27,895,3.02%
E02000740,27,2092,1.29%,44,1598,2.75%
E02000741,56,2515,2.23%,167,4313,3.87%
E02000742,48,2272,2.11%,17,485,3.51%
E02000743,33,2172,1.52%,62,1798,3.45%
E02000744,72,2280,3.16%,19,673,2.82%
E02000745,71,2659,2.67%,15,226,6.64%
E02000746,41,2175,1.89%,152,5334,2.85%
E02000747,82,4033,2.03%,89,3922,2.27%
E02000748,49,1897,2.58%,170,3579,4.75%
E02000749,44,2311,1.90%,32,1553,2.06%
E02000750,96,4295,2.24%,113,3839,2.94%
E02000751,74,3581,2.07%,29,1580,1.84%
E02000752,21,1950,1.08%,39,1899,2.05%
E02000753,16,1838,0.87%,2,129,1.55%
E02000754,33,2249,1.47%,4,347,1.15%
E02000755,20,1783,1.12%,7,646,1.08%
E02000756,34,4171,0.82%,35,2052,1.71%
E02000757,114,4883,2.33%,30,2276,1.32%
E02000758,15,1836,0.82%,10,508,1.97%
E02000759,93,4424,2.10%,27,1282,2.11%
E02000760,22,2119,1.04%,6,762,0.79%
E02000762,20,2099,0.95%,1,365,0.27%
E02000763,17,2257,0.75%,18,1191,1.51%
E02000764,128,4848,2.64%,54,2018,2.68%
E02000765,16,2117,0.76%,13,850,1.53%
E02000767,17,2500,0.68%,20,1651,1.21%
