id,lat,lon,date,borough,severity,casualties_num
739480,51.549287,-0.09159,2019-11-27 20:08:00+00:00,Islington,Serious,1
739481,51.46988,-0.17732199999999998,2019-11-27 17:45:00+00:00,Wandsworth,Slight,1
739495,51.555595,0.127237,2019-11-27 16:38:00+00:00,Barking and Dagenham,Serious,1
739500,51.568109,-0.09938799999999999,2019-11-28 07:30:00+00:00,Hackney,Slight,1
364339,51.416898,0.021037,2019-10-04 16:27:00+00:00,Bromley,Slight,1
364349,51.515274,-0.141785,2019-10-05 01:30:00+00:00,City of Westminster,Slight,1
364351,51.52517,-0.033926,2019-10-05 05:35:00+00:00,Tower Hamlets,Slight,1
364357,51.556274,0.013880000000000002,2019-10-04 09:15:00+00:00,Waltham Forest,Slight,1
364371,51.434802,-0.15673499999999999,2019-10-05 13:15:00+00:00,Wandsworth,Slight,1
364372,51.514018,-0.152804,2019-09-26 21:00:00+00:00,City of Westminster,Slight,1
364375,51.468806,-0.270231,2019-10-05 11:30:00+00:00,Richmond upon Thames,Slight,1
364377,51.435904,-0.186415,2019-10-05 15:00:00+00:00,Wandsworth,Slight,1
364379,51.56377,0.080034,2019-10-05 15:14:00+00:00,Redbridge,Slight,1
364382,51.490102,-0.104016,2019-10-05 15:25:00+00:00,Southwark,Slight,1
737157,51.508952,-0.197076,2019-10-28 17:43:00+00:00,Kensington and Chelsea,Slight,1
737167,51.550755,-0.134772,2019-10-28 12:35:00+00:00,Camden,Slight,1
737168,51.488611,-0.219442,2019-10-28 18:25:00+00:00,Hammersmith and Fulham,Slight,1
737178,51.479151,-0.187724,2019-10-26 15:00:00+00:00,Hammersmith and Fulham,Slight,1
737179,51.554897,-0.131746,2019-10-28 18:40:00+00:00,Islington,Slight,1
737183,51.593881,0.08490299999999999,2019-10-07 18:36:00+00:00,Redbridge,Slight,1
737197,51.533185,-0.08739000000000001,2019-10-29 07:50:00+00:00,Hackney,Serious,1
737198,51.590027,-0.012706,2019-10-28 20:13:00+00:00,Waltham Forest,Slight,1
737199,51.489443,-0.19034099999999998,2019-10-29 08:57:00+00:00,Kensington and Chelsea,Slight,1
737203,51.37536,-0.303728,2019-10-22 08:38:00+00:00,Kingston,Slight,1
737206,51.505965,-0.22467299999999998,2019-10-04 20:05:00+00:00,Hammersmith and Fulham,Slight,1
734874,51.527165,-0.13064699999999999,2019-09-26 08:45:00+00:00,Camden,Slight,1
734877,51.572039,0.13981000000000002,2019-09-21 16:44:00+00:00,Barking and Dagenham,Slight,1
734880,51.371906,0.10635499999999999,2019-09-26 18:00:00+00:00,Bromley,Slight,1
734882,51.501897,-0.140312,2019-09-26 18:00:00+00:00,City of Westminster,Serious,1
734886,51.432117,-0.021810000000000003,2019-09-26 18:47:00+00:00,Lewisham,Slight,1
734890,51.515874,-0.171393,2019-09-25 18:12:00+00:00,City of Westminster,Slight,1
