,cord,feature_type,BOROUGH,FEATURE_ID,SVDATE,SIG_HEAD,SIG_SEPARA,SIG_EARLY,SIG_TWOSTG,SIG_GATE,PHOTO1_URL,PHOTO2_URL,cord_X,cord_Y
22,"[-0.1742442532, 51.5120603419]",Point,Westminster,RWG016922,2017-06-21,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG016922_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016922_2.jpg,-0.1742442532, 51.5120603419
23,"[-0.1665701827, 51.5126696613]",Point,Westminster,RWG016917,2017-06-20,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG016917_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016917_2.jpg,-0.1665701827, 51.5126696613
24,"[-0.1764866469, 51.5135086511]",Point,Westminster,RWG016926,2017-10-31,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG016926_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016926_2.jpg,-0.1764866469, 51.5135086511
25,"[-0.17243833, 51.5120297746]",Point,Westminster,RWG102577,2017-10-27,1,1,0,0,1,https://cycleassetimages.data.tfl.gov.uk/RWG102577_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG102577_2.jpg,-0.17243833, 51.5120297746
26,"[-0.1757570634, 51.5132345492]",Point,Westminster,RWG016927,2017-10-31,1,1,1,0,1,https://cycleassetimages.data.tfl.gov.uk/RWG016927_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016927_2.jpg,-0.1757570634, 51.5132345492
27,"[-0.1757886316, 51.5131725743]",Point,Westminster,RWG016928,2017-10-31,1,1,1,0,1,https://cycleassetimages.data.tfl.gov.uk/RWG016928_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016928_2.jpg,-0.1757886316, 51.5131725743
28,"[-0.1771235161, 51.5246582527]",Point,Westminster,RWG016938,2017-06-24,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG016938_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016938_2.jpg,-0.1771235161, 51.5246582527
29,"[-0.1724453302, 51.5120684568]",Point,Westminster,RWG102576,2017-11-02,1,1,0,0,1,https://cycleassetimages.data.tfl.gov.uk/RWG102576_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG102576_2.jpg,-0.1724453302, 51.5120684568
30,"[-0.0771939466, 51.5345845043]",Point,Hackney,RWG032085,2017-08-21,1,0,1,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG032085_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG032085_2.jpg,-0.0771939466, 51.5345845043
31,"[-0.1224633207, 51.5350779879]",Point,Camden,RWG006227,2017-06-08,1,0,1,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG006227_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG006227_2.jpg,-0.1224633207, 51.5350779879
32,"[-0.1222388963, 51.5350694839]",Point,Islington,RWG006228,2017-06-08,1,0,1,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG006228_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG006228_2.jpg,-0.1222388963, 51.5350694839
